2theta	Intensity
3	5469
3.015326042145	5157
3.03065208429	5067
3.045978126435	4903
3.06130416858	4582
3.076630210725	4435
3.09195625287	4212
3.107282295015	4237
3.12260833716	4143
3.137934379305	3886
3.15326042145	3762
3.168586463595	3795
3.18391250574	3595
3.199238547885	3710
3.21456459003	3542
3.229890632175	3465
3.24521667432	3569
3.260542716465	3372
3.27586875861	3442
3.291194800755	3399
3.3065208429	3350
3.321846885045	3255
3.33717292719	3280
3.352498969335	3333
3.36782501148	3268
3.383151053625	3270
3.39847709577	3237
3.413803137915	3151
3.42912918006	3214
3.444455222205	3207
3.45978126435	3214
3.475107306495	3172
3.49043334864	3214
3.505759390785	3227
3.52108543293	3213
3.536411475075	3256
3.55173751722	3276
3.567063559365	3320
3.58238960151	3482
3.597715643655	3545
3.6130416858	3686
3.628367727945	3878
3.64369377009	3993
3.659019812235	4040
3.67434585438	3939
3.689671896525	3839
3.70499793867	3760
3.720323980815	3773
3.73565002296	3464
3.750976065105	3282
3.76630210725	3038
3.781628149395	2860
3.79695419154	2739
3.812280233685	2616
3.82760627583	2601
3.842932317975	2524
3.85825836012	2548
3.873584402265	2540
3.88891044441	2405
3.904236486555	2480
3.9195625287	2427
3.934888570845	2473
3.95021461299	2282
3.965540655135	2387
3.98086669728	2267
3.996192739425	2299
4.01151878157	2402
4.026844823715	2354
4.04217086586	2319
4.057496908005	2236
4.07282295015	2311
4.088148992295	2197
4.10347503444	2180
4.118801076585	2190
4.13412711873	2215
4.149453160875	2175
4.16477920302	2142
4.180105245165	2133
4.19543128731	2108
4.210757329455	2129
4.2260833716	2011
4.241409413745	2106
4.25673545589	2104
4.272061498035	2036
4.28738754018	1998
4.302713582325	1985
4.31803962447	1929
4.333365666615	2003
4.34869170876	1980
4.364017750905	1895
4.37934379305	1863
4.394669835195	1982
4.40999587734	1923
4.425321919485	1961
4.44064796163	1778
4.455974003775	1866
4.47130004592	1861
4.486626088065	1766
4.50195213021	1800
4.517278172355	1835
4.5326042145	1755
4.547930256645	1764
4.56325629879	1853
4.578582340935	1802
4.59390838308	1796
4.609234425225	1684
4.62456046737	1684
4.639886509515	1767
4.65521255166	1810
4.670538593805	1645
4.68586463595	1706
4.701190678095	1742
4.71651672024	1686
4.731842762385	1707
4.74716880453	1647
4.762494846675	1544
4.77782088882	1613
4.793146930965	1643
4.80847297311	1592
4.823799015255	1675
4.8391250574	1588
4.854451099545	1576
4.86977714169	1660
4.885103183835	1535
4.90042922598	1537
4.915755268125	1584
4.93108131027	1600
4.946407352415	1571
4.96173339456	1501
4.977059436705	1531
4.99238547885	1569
5.007711520995	1475
5.02303756314	1511
5.038363605285	1538
5.05368964743	1528
5.069015689575	1520
5.08434173172	1440
5.099667773865	1481
5.11499381601	1383
5.130319858155	1450
5.1456459003	1414
5.160971942445	1454
5.17629798459	1395
5.191624026735	1440
5.20695006888	1384
5.222276111025	1445
5.23760215317	1421
5.252928195315	1473
5.26825423746	1353
5.283580279605	1368
5.29890632175	1424
5.314232363895	1478
5.32955840604	1419
5.344884448185	1302
5.36021049033	1359
5.375536532475	1350
5.39086257462	1375
5.406188616765	1373
5.42151465891	1371
5.436840701055	1303
5.4521667432	1385
5.467492785345	1297
5.48281882749	1317
5.498144869635	1296
5.51347091178	1313
5.528796953925	1264
5.54412299607	1332
5.559449038215	1309
5.57477508036	1302
5.590101122505	1308
5.60542716465	1259
5.620753206795	1255
5.63607924894	1319
5.651405291085	1281
5.66673133323	1266
5.682057375375	1261
5.69738341752	1242
5.712709459665	1241
5.72803550181	1248
5.743361543955	1198
5.7586875861	1235
5.774013628245	1208
5.78933967039	1248
5.804665712535	1220
5.81999175468	1220
5.835317796825	1255
5.85064383897	1209
5.865969881115	1130
5.88129592326	1155
5.896621965405	1237
5.91194800755	1225
5.927274049695	1188
5.94260009184	1192
5.957926133985	1208
5.97325217613	1197
5.988578218275	1155
6.00390426042	1213
6.019230302565	1208
6.03455634471	1192
6.049882386855	1197
6.065208429	1131
6.080534471145	1177
6.09586051329	1188
6.111186555435	1167
6.12651259758	1149
6.141838639725	1193
6.15716468187	1096
6.172490724015	1115
6.18781676616	1151
6.203142808305	1176
6.21846885045	1215
6.233794892595	1171
6.24912093474	1149
6.264446976885	1152
6.27977301903	1121
6.295099061175	1115
6.31042510332	1096
6.325751145465	1045
6.34107718761	1092
6.356403229755	1141
6.3717292719	1107
6.387055314045	1100
6.40238135619	1083
6.417707398335	1112
6.43303344048	1105
6.448359482625	1068
6.46368552477	1110
6.479011566915	1082
6.49433760906	1110
6.509663651205	1080
6.52498969335	1095
6.540315735495	1075
6.55564177764	1049
6.570967819785	1104
6.58629386193	1098
6.601619904075	1091
6.61694594622	1055
6.632271988365	1118
6.64759803051	1081
6.662924072655	1054
6.6782501148	1040
6.693576156945	1057
6.70890219909	1074
6.724228241235	1069
6.73955428338	996
6.754880325525	994
6.77020636767	1029
6.785532409815	1100
6.80085845196	1046
6.816184494105	1074
6.83151053625	1044
6.846836578395	1013
6.86216262054	1085
6.877488662685	1012
6.89281470483	1039
6.908140746975	1036
6.92346678912	1031
6.938792831265	1052
6.95411887341	1018
6.969444915555	968
6.9847709577	1009
7.000096999845	952
7.01542304199	1020
7.030749084135	1004
7.04607512628	1018
7.061401168425	976
7.07672721057	945
7.092053252715	1015
7.10737929486	972
7.122705337005	982
7.13803137915	989
7.153357421295	1013
7.16868346344	949
7.184009505585	1014
7.19933554773	924
7.214661589875	972
7.22998763202	984
7.245313674165	943
7.26063971631	919
7.275965758455	932
7.2912918006	922
7.306617842745	974
7.32194388489	894
7.337269927035	975
7.35259596918	942
7.367922011325	904
7.38324805347	1013
7.398574095615	912
7.41390013776	949
7.429226179905	946
7.44455222205	948
7.459878264195	1008
7.47520430634	923
7.490530348485	875
7.50585639063	918
7.521182432775	948
7.53650847492	869
7.551834517065	961
7.56716055921	895
7.582486601355	892
7.5978126435	946
7.613138685645	909
7.62846472779	941
7.643790769935	922
7.65911681208	928
7.674442854225	965
7.68976889637	970
7.705094938515	919
7.72042098066	898
7.735747022805	862
7.75107306495	921
7.766399107095	878
7.78172514924	903
7.797051191385	915
7.81237723353	946
7.827703275675	872
7.84302931782	872
7.858355359965	877
7.87368140211	905
7.889007444255	889
7.9043334864	895
7.919659528545	905
7.93498557069	898
7.950311612835	900
7.96563765498	884
7.980963697125	891
7.99628973927	859
8.011615781415	927
8.02694182356	855
8.042267865705	912
8.05759390785	867
8.072919949995	859
8.08824599214	864
8.103572034285	907
8.11889807643	884
8.134224118575	942
8.14955016072	852
8.164876202865	842
8.18020224501	895
8.195528287155	902
8.2108543293	913
8.226180371445	880
8.24150641359	863
8.256832455735	838
8.27215849788	852
8.287484540025	837
8.30281058217	826
8.318136624315	846
8.33346266646	883
8.348788708605	878
8.36411475075	868
8.379440792895	862
8.39476683504	840
8.410092877185	900
8.42541891933	853
8.440744961475	847
8.45607100362	853
8.471397045765	843
8.48672308791	868
8.502049130055	919
8.5173751722	918
8.532701214345	846
8.54802725649	853
8.563353298635	859
8.57867934078	850
8.594005382925	846
8.60933142507	909
8.624657467215	846
8.63998350936	935
8.655309551505	854
8.67063559365	891
8.685961635795	878
8.70128767794	812
8.716613720085	853
8.73193976223	894
8.747265804375	885
8.76259184652	862
8.777917888665	857
8.79324393081	910
8.808569972955	884
8.8238960151	869
8.839222057245	891
8.85454809939	867
8.869874141535	866
8.88520018368	799
8.900526225825	862
8.91585226797	844
8.931178310115	800
8.94650435226	823
8.961830394405	786
8.97715643655	798
8.992482478695	832
9.00780852084	851
9.023134562985	852
9.03846060513	809
9.053786647275	794
9.06911268942	825
9.084438731565	832
9.09976477371	793
9.115090815855	825
9.130416858	799
9.145742900145	774
9.16106894229	838
9.176394984435	810
