2theta	Intensity
3	6987
3.015326042145	6595
3.03065208429	6288
3.045978126435	6120
3.06130416858	6033
3.076630210725	5764
3.09195625287	5595
3.107282295015	5320
3.12260833716	5311
3.137934379305	5138
3.15326042145	5016
3.168586463595	5075
3.18391250574	4863
3.199238547885	4795
3.21456459003	4828
3.229890632175	4637
3.24521667432	4693
3.260542716465	4626
3.27586875861	4464
3.291194800755	4476
3.3065208429	4426
3.321846885045	4380
3.33717292719	4309
3.352498969335	4334
3.36782501148	4376
3.383151053625	4224
3.39847709577	4132
3.413803137915	4118
3.42912918006	4163
3.444455222205	3942
3.45978126435	4102
3.475107306495	4021
3.49043334864	3918
3.505759390785	3929
3.52108543293	3959
3.536411475075	3856
3.55173751722	3838
3.567063559365	3974
3.58238960151	3794
3.597715643655	3837
3.6130416858	3932
3.628367727945	3888
3.64369377009	3929
3.659019812235	3953
3.67434585438	3900
3.689671896525	3835
3.70499793867	3812
3.720323980815	3683
3.73565002296	3529
3.750976065105	3391
3.76630210725	3374
3.781628149395	3339
3.79695419154	3284
3.812280233685	3324
3.82760627583	3228
3.842932317975	3220
3.85825836012	3177
3.873584402265	3198
3.88891044441	3145
3.904236486555	3194
3.9195625287	3064
3.934888570845	3101
3.95021461299	3009
3.965540655135	2979
3.98086669728	2947
3.996192739425	2905
4.01151878157	2931
4.026844823715	2886
4.04217086586	2889
4.057496908005	2786
4.07282295015	2765
4.088148992295	2817
4.10347503444	2838
4.118801076585	2652
4.13412711873	2720
4.149453160875	2795
4.16477920302	2657
4.180105245165	2643
4.19543128731	2568
4.210757329455	2625
4.2260833716	2602
4.241409413745	2477
4.25673545589	2510
4.272061498035	2515
4.28738754018	2505
4.302713582325	2463
4.31803962447	2471
4.333365666615	2469
4.34869170876	2402
4.364017750905	2423
4.37934379305	2429
4.394669835195	2442
4.40999587734	2371
4.425321919485	2278
4.44064796163	2264
4.455974003775	2380
4.47130004592	2253
4.486626088065	2213
4.50195213021	2209
4.517278172355	2269
4.5326042145	2169
4.547930256645	2175
4.56325629879	2193
4.578582340935	2206
4.59390838308	2192
4.609234425225	2139
4.62456046737	2181
4.639886509515	2168
4.65521255166	2122
4.670538593805	1988
4.68586463595	2033
4.701190678095	2086
4.71651672024	2018
4.731842762385	1978
4.74716880453	1997
4.762494846675	1917
4.77782088882	1947
4.793146930965	1968
4.80847297311	1929
4.823799015255	1984
4.8391250574	1862
4.854451099545	1949
4.86977714169	1934
4.885103183835	1895
4.90042922598	1916
4.915755268125	1844
4.93108131027	1938
4.946407352415	1824
4.96173339456	1800
4.977059436705	1815
4.99238547885	1845
5.007711520995	1787
5.02303756314	1815
5.038363605285	1691
5.05368964743	1832
5.069015689575	1695
5.08434173172	1713
5.099667773865	1700
5.11499381601	1658
5.130319858155	1738
5.1456459003	1739
5.160971942445	1714
5.17629798459	1685
5.191624026735	1680
5.20695006888	1685
5.222276111025	1655
5.23760215317	1728
5.252928195315	1702
5.26825423746	1660
5.283580279605	1676
5.29890632175	1571
5.314232363895	1647
5.32955840604	1658
5.344884448185	1614
5.36021049033	1637
5.375536532475	1595
5.39086257462	1646
5.406188616765	1564
5.42151465891	1536
5.436840701055	1610
5.4521667432	1598
5.467492785345	1549
5.48281882749	1580
5.498144869635	1504
5.51347091178	1574
5.528796953925	1535
5.54412299607	1491
5.559449038215	1469
5.57477508036	1600
5.590101122505	1543
5.60542716465	1621
5.620753206795	1550
5.63607924894	1605
5.651405291085	1588
5.66673133323	1576
5.682057375375	1548
5.69738341752	1480
5.712709459665	1579
5.72803550181	1546
5.743361543955	1569
5.7586875861	1519
5.774013628245	1471
5.78933967039	1529
5.804665712535	1518
5.81999175468	1534
5.835317796825	1559
5.85064383897	1478
5.865969881115	1563
5.88129592326	1529
5.896621965405	1474
5.91194800755	1559
5.927274049695	1567
5.94260009184	1500
5.957926133985	1614
5.97325217613	1609
5.988578218275	1590
6.00390426042	1611
6.019230302565	1626
6.03455634471	1686
6.049882386855	1669
6.065208429	1687
6.080534471145	1715
6.09586051329	1783
6.111186555435	1824
6.12651259758	1867
6.141838639725	1826
6.15716468187	1891
6.172490724015	1989
6.18781676616	1963
6.203142808305	1976
6.21846885045	1925
6.233794892595	1997
6.24912093474	1807
6.264446976885	1747
6.27977301903	1765
6.295099061175	1726
6.31042510332	1647
6.325751145465	1648
6.34107718761	1619
6.356403229755	1539
6.3717292719	1573
6.387055314045	1570
6.40238135619	1515
6.417707398335	1442
6.43303344048	1507
6.448359482625	1573
6.46368552477	1498
6.479011566915	1510
6.49433760906	1444
6.509663651205	1497
6.52498969335	1446
6.540315735495	1538
6.55564177764	1487
6.570967819785	1491
6.58629386193	1474
6.601619904075	1518
6.61694594622	1474
6.632271988365	1448
6.64759803051	1416
6.662924072655	1466
6.6782501148	1435
6.693576156945	1467
6.70890219909	1441
6.724228241235	1427
6.73955428338	1393
6.754880325525	1421
6.77020636767	1377
6.785532409815	1395
6.80085845196	1399
6.816184494105	1416
6.83151053625	1401
6.846836578395	1444
6.86216262054	1312
6.877488662685	1464
6.89281470483	1384
6.908140746975	1398
6.92346678912	1442
6.938792831265	1470
6.95411887341	1367
6.969444915555	1379
6.9847709577	1392
7.000096999845	1402
7.01542304199	1360
7.030749084135	1433
7.04607512628	1414
7.061401168425	1412
7.07672721057	1407
7.092053252715	1420
7.10737929486	1374
7.122705337005	1450
7.13803137915	1474
7.153357421295	1383
7.16868346344	1483
7.184009505585	1461
7.19933554773	1430
7.214661589875	1483
7.22998763202	1349
7.245313674165	1477
7.26063971631	1488
7.275965758455	1428
7.2912918006	1450
7.306617842745	1433
7.32194388489	1456
7.337269927035	1485
7.35259596918	1439
7.367922011325	1452
7.38324805347	1458
7.398574095615	1476
7.41390013776	1496
7.429226179905	1436
7.44455222205	1424
7.459878264195	1514
7.47520430634	1495
7.490530348485	1511
7.50585639063	1516
7.521182432775	1505
7.53650847492	1452
7.551834517065	1487
7.56716055921	1592
7.582486601355	1528
7.5978126435	1556
7.613138685645	1533
7.62846472779	1503
7.643790769935	1590
7.65911681208	1469
7.674442854225	1575
7.68976889637	1548
7.705094938515	1570
7.72042098066	1578
7.735747022805	1585
7.75107306495	1581
7.766399107095	1557
7.78172514924	1665
7.797051191385	1596
7.81237723353	1699
7.827703275675	1601
7.84302931782	1656
7.858355359965	1677
7.87368140211	1672
7.889007444255	1726
7.9043334864	1633
7.919659528545	1738
7.93498557069	1717
7.950311612835	1710
7.96563765498	1732
7.980963697125	1843
7.99628973927	1799
8.011615781415	1768
8.02694182356	1791
8.042267865705	1795
8.05759390785	1841
8.072919949995	1950
8.08824599214	1863
8.103572034285	1894
8.11889807643	1864
8.134224118575	1924
8.14955016072	2013
8.164876202865	1955
8.18020224501	1969
8.195528287155	2025
8.2108543293	2009
8.226180371445	2025
8.24150641359	1993
8.256832455735	2115
8.27215849788	2039
8.287484540025	2061
8.30281058217	2188
8.318136624315	2177
8.33346266646	2163
8.348788708605	2239
