2theta	Intensity
3	7713
3.015326042145	7406
3.03065208429	7226
3.045978126435	7000
3.06130416858	6732
3.076630210725	6633
3.09195625287	6242
3.107282295015	6296
3.12260833716	6055
3.137934379305	5996
3.15326042145	5761
3.168586463595	5650
3.18391250574	5651
3.199238547885	5472
3.21456459003	5642
3.229890632175	5319
3.24521667432	5341
3.260542716465	5310
3.27586875861	5313
3.291194800755	5196
3.3065208429	5244
3.321846885045	5156
3.33717292719	5105
3.352498969335	5010
3.36782501148	4994
3.383151053625	4990
3.39847709577	4894
3.413803137915	4833
3.42912918006	4668
3.444455222205	4802
3.45978126435	4623
3.475107306495	4662
3.49043334864	4516
3.505759390785	4544
3.52108543293	4364
3.536411475075	4496
3.55173751722	4360
3.567063559365	4356
3.58238960151	4355
3.597715643655	4291
3.6130416858	4263
3.628367727945	4273
3.64369377009	4349
3.659019812235	4052
3.67434585438	4069
3.689671896525	4100
3.70499793867	4122
3.720323980815	4041
3.73565002296	3981
3.750976065105	3923
3.76630210725	4011
3.781628149395	3805
3.79695419154	3881
3.812280233685	3934
3.82760627583	3676
3.842932317975	3794
3.85825836012	3695
3.873584402265	3615
3.88891044441	3789
3.904236486555	3588
3.9195625287	3566
3.934888570845	3460
3.95021461299	3580
3.965540655135	3459
3.98086669728	3409
3.996192739425	3422
4.01151878157	3481
4.026844823715	3400
4.04217086586	3348
4.057496908005	3449
4.07282295015	3367
4.088148992295	3197
4.10347503444	3217
4.118801076585	3180
4.13412711873	3246
4.149453160875	3110
4.16477920302	3158
4.180105245165	3102
4.19543128731	3101
4.210757329455	3078
4.2260833716	3100
4.241409413745	2903
4.25673545589	3009
4.272061498035	3028
4.28738754018	2895
4.302713582325	2981
4.31803962447	3041
4.333365666615	2829
4.34869170876	2825
4.364017750905	2779
4.37934379305	2797
4.394669835195	2826
4.40999587734	2680
4.425321919485	2871
4.44064796163	2739
4.455974003775	2707
4.47130004592	2716
4.486626088065	2664
4.50195213021	2646
4.517278172355	2671
4.5326042145	2577
4.547930256645	2592
4.56325629879	2629
4.578582340935	2490
4.59390838308	2540
4.609234425225	2543
4.62456046737	2459
4.639886509515	2477
4.65521255166	2516
4.670538593805	2484
4.68586463595	2459
4.701190678095	2342
4.71651672024	2416
4.731842762385	2414
4.74716880453	2397
4.762494846675	2354
4.77782088882	2318
4.793146930965	2411
4.80847297311	2257
4.823799015255	2321
4.8391250574	2237
4.854451099545	2264
4.86977714169	2334
4.885103183835	2265
4.90042922598	2282
4.915755268125	2196
4.93108131027	2285
4.946407352415	2224
4.96173339456	2258
4.977059436705	2133
