2theta	Intensity
3	7958
3.015326042145	7764
3.03065208429	7460
3.045978126435	7121
3.06130416858	7002
3.076630210725	6601
3.09195625287	6567
3.107282295015	6336
3.12260833716	6221
3.137934379305	6080
3.15326042145	5986
3.168586463595	5884
3.18391250574	5647
3.199238547885	5637
3.21456459003	5581
3.229890632175	5542
3.24521667432	5371
3.260542716465	5440
3.27586875861	5323
3.291194800755	5334
3.3065208429	5208
3.321846885045	5171
3.33717292719	5013
3.352498969335	5140
3.36782501148	4941
3.383151053625	4969
3.39847709577	4822
3.413803137915	4735
3.42912918006	4763
3.444455222205	4612
3.45978126435	4810
3.475107306495	4650
3.49043334864	4483
3.505759390785	4534
3.52108543293	4506
3.536411475075	4404
3.55173751722	4411
3.567063559365	4447
3.58238960151	4271
3.597715643655	4418
3.6130416858	4222
3.628367727945	4310
3.64369377009	4285
3.659019812235	3947
3.67434585438	4124
3.689671896525	3964
3.70499793867	3979
3.720323980815	3982
3.73565002296	3927
3.750976065105	3945
3.76630210725	3884
3.781628149395	3860
3.79695419154	3760
3.812280233685	3764
3.82760627583	3690
3.842932317975	3637
3.85825836012	3754
3.873584402265	3581
3.88891044441	3560
3.904236486555	3533
3.9195625287	3503
3.934888570845	3504
3.95021461299	3476
3.965540655135	3460
3.98086669728	3400
3.996192739425	3412
4.01151878157	3346
4.026844823715	3337
4.04217086586	3237
4.057496908005	3302
4.07282295015	3212
4.088148992295	3183
4.10347503444	3163
4.118801076585	3145
4.13412711873	3110
4.149453160875	3175
4.16477920302	3045
4.180105245165	3086
4.19543128731	2856
4.210757329455	2984
4.2260833716	2947
4.241409413745	2960
4.25673545589	2920
4.272061498035	2934
4.28738754018	2932
4.302713582325	2956
4.31803962447	2780
4.333365666615	2837
4.34869170876	2746
4.364017750905	2748
4.37934379305	2596
4.394669835195	2672
4.40999587734	2685
4.425321919485	2638
4.44064796163	2601
4.455974003775	2524
4.47130004592	2616
4.486626088065	2557
4.50195213021	2570
4.517278172355	2637
4.5326042145	2524
4.547930256645	2481
4.56325629879	2598
4.578582340935	2384
4.59390838308	2380
4.609234425225	2426
4.62456046737	2409
4.639886509515	2323
4.65521255166	2361
4.670538593805	2371
4.68586463595	2338
4.701190678095	2345
4.71651672024	2355
4.731842762385	2263
4.74716880453	2287
4.762494846675	2242
4.77782088882	2235
4.793146930965	2217
4.80847297311	2223
4.823799015255	2174
4.8391250574	2103
4.854451099545	2170
